"Distribution","lambda","L","Group","ARL0_target","combo_label","delta","m","n_signals","FP_bonf","TN_bonf","FP_holm","TN_holm","FP_BH","TN_BH","FP_raw","TN_raw","Sensitivity_Bonf","Specificity_Bonf","FDR_Bonf","Sensitivity_Holm","Specificity_Holm","FDR_Holm","Sensitivity_BH","Specificity_BH","FDR_BH","Sensitivity_raw","Specificity_raw","FDR_raw","FWER_bonf","FWER_holm","FWER_bh","FWER_raw"
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0,0,1718,0.030267753201397,9.9697322467986,0.030267753201397,9.9697322467986,0.0349243306169965,9.965075669383,0.342840512223516,9.65715948777648,0,0.99697322467986,0.030267753201397,0,0.99697322467986,0.030267753201397,0,0.9965075669383,0.0314318975552969,0,0.965715948777648,0.260768335273574,0.030267753201397,0.030267753201397,0.0314318975552969,0.260768335273574
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0,1,1736,0.0339861751152074,8.96601382488479,0.0339861751152074,8.96601382488479,0.0397465437788018,8.9602534562212,0.31278801843318,8.68721198156682,0.00518433179723502,0.996223758320533,0.0334101382488479,0.00518433179723502,0.996223758320533,0.0334101382488479,0.00576036866359447,0.995583717357911,0.035426267281106,0.0345622119815668,0.965245775729647,0.242511520737327,0.0339861751152074,0.0339861751152074,0.0362903225806452,0.251728110599078
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0,2,1725,0.0301449275362319,7.96985507246377,0.0307246376811594,7.96927536231884,0.0307246376811594,7.96927536231884,0.28695652173913,7.71304347826087,0.00347826086956522,0.996231884057971,0.0292753623188406,0.00347826086956522,0.996159420289855,0.0292753623188406,0.00376811594202899,0.996159420289855,0.0289855072463768,0.0379710144927536,0.964130434782609,0.211188405797101,0.0295652173913043,0.0295652173913043,0.0295652173913043,0.227246376811594
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.05,0,1736,0.0316820276497696,9.96831797235023,0.032258064516129,9.96774193548387,0.0368663594470046,9.96313364055299,0.339861751152074,9.66013824884793,0,0.996831797235023,0.0311059907834101,0,0.996774193548387,0.0311059907834101,0,0.9963133640553,0.0328341013824885,0,0.966013824884793,0.262096774193548,0.0311059907834101,0.0311059907834101,0.0328341013824885,0.262096774193548
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.05,1,1863,0.0343531937734836,8.96564680622652,0.035426731078905,8.96457326892109,0.0434782608695652,8.95652173913044,0.344605475040258,8.65539452495974,0.146537842190016,0.996182978469613,0.0324745034889962,0.146537842190016,0.996063696546788,0.0330112721417069,0.148684916800859,0.995169082125604,0.0357845768473788,0.281803542673108,0.961710502773305,0.232823403113258,0.0343531937734836,0.035426731078905,0.0407944176060118,0.286634460547504
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.05,2,1986,0.0352467270896274,7.96475327291037,0.0352467270896274,7.96475327291037,0.040785498489426,7.95921450151057,0.290030211480363,7.70996978851964,0.113041289023162,0.995594159113797,0.0328130245048674,0.114300100704935,0.995594159113797,0.0328130245048674,0.126132930513595,0.994901812688822,0.0340718361866398,0.264350453172205,0.963746223564955,0.185557233971131,0.0352467270896274,0.0352467270896274,0.040785498489426,0.243202416918429
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.1,0,1729,0.0358588779641411,9.96414112203586,0.0358588779641411,9.96414112203586,0.0393290919606709,9.96067090803933,0.357432041642568,9.64256795835743,0,0.996414112203586,0.0347021399652979,0,0.996414112203586,0.0347021399652979,0,0.996067090803933,0.0358588779641411,0,0.964256795835743,0.275303643724696,0.0347021399652979,0.0347021399652979,0.0358588779641411,0.275303643724696
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.1,1,1983,0.0242057488653555,8.97579425113464,0.0262228946041351,8.97377710539586,0.0423600605143722,8.95763993948563,0.313161875945537,8.68683812405446,0.318204740292486,0.997310472348294,0.0191628845184065,0.318204740292486,0.997086345043985,0.0201714573877963,0.322239031770045,0.995293326609514,0.0271474197344091,0.448814926878467,0.965204236006051,0.191376701966717,0.0242057488653555,0.0262228946041351,0.0393343419062027,0.266263237518911
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.1,2,2000,0.0195,7.9805,0.02,7.98,0.0275,7.9725,0.25,7.75,0.1795,0.9975625,0.0165,0.18125,0.9975,0.0166666666666667,0.2,0.9965625,0.0189166666666667,0.36575,0.96875,0.154916666666667,0.0195,0.02,0.0275,0.2255
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.15,0,1763,0.0317640385706183,9.96823596142938,0.0317640385706183,9.96823596142938,0.0346001134429949,9.96539988655701,0.337492909812819,9.66250709018718,0,0.996823596142938,0.0300623936471923,0,0.996823596142938,0.0300623936471923,0,0.9965399886557,0.0300623936471923,0,0.966250709018718,0.252977878615995,0.0300623936471923,0.0300623936471923,0.0300623936471923,0.252977878615995
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.15,1,2000,0.0235,8.9765,0.0245,8.9755,0.04,8.96,0.3085,8.6915,0.381,0.997388888888889,0.02025,0.381,0.997277777777778,0.02075,0.3855,0.995555555555556,0.0274166666666667,0.531,0.965722222222222,0.179375,0.0235,0.0245,0.039,0.265
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.15,2,2000,0.02,7.98,0.02,7.98,0.0325,7.9675,0.2335,7.7665,0.2255,0.9975,0.0175,0.22725,0.9975,0.0175,0.25175,0.9959375,0.0225833333333333,0.419,0.9708125,0.131541666666667,0.02,0.02,0.03,0.203
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.2,0,1708,0.0234192037470726,9.97658079625293,0.0234192037470726,9.97658079625293,0.0234192037470726,9.97658079625293,0.324941451990632,9.67505854800937,0,0.997658079625293,0.0234192037470726,0,0.997658079625293,0.0234192037470726,0,0.997658079625293,0.0234192037470726,0,0.967505854800937,0.25175644028103,0.0234192037470726,0.0234192037470726,0.0234192037470726,0.25175644028103
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.2,1,2000,0.0195,8.9805,0.022,8.978,0.037,8.963,0.2965,8.7035,0.452,0.997833333333333,0.0155,0.452,0.997555555555556,0.01675,0.4555,0.995888888888889,0.02325,0.5955,0.967055555555556,0.165458333333333,0.0195,0.022,0.0355,0.26
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.2,2,2000,0.0125,7.9875,0.013,7.987,0.0225,7.9775,0.193,7.807,0.25775,0.9984375,0.0114166666666667,0.25975,0.998375,0.0116666666666667,0.2875,0.9971875,0.01475,0.46475,0.975875,0.102458333333333,0.0125,0.013,0.0225,0.1765
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.3,0,1736,0.0345622119815668,9.96543778801843,0.0345622119815668,9.96543778801843,0.0385944700460829,9.96140552995392,0.373847926267281,9.62615207373272,0,0.996543778801843,0.0339861751152074,0,0.996543778801843,0.0339861751152074,0,0.996140552995392,0.0351382488479263,0,0.962615207373272,0.283986175115207,0.0339861751152074,0.0339861751152074,0.0351382488479263,0.283986175115207
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.3,1,2000,0.023,8.977,0.0235,8.9765,0.0395,8.9605,0.2685,8.7315,0.53,0.997444444444444,0.01575,0.5305,0.997388888888889,0.01575,0.5355,0.995611111111111,0.023,0.6485,0.970166666666667,0.141166666666667,0.023,0.0235,0.039,0.238
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.3,2,2000,0.006,7.994,0.007,7.993,0.021,7.979,0.1525,7.8475,0.3165,0.99925,0.00433333333333333,0.32075,0.999125,0.00458333333333333,0.35675,0.997375,0.0100833333333333,0.536,0.9809375,0.07175,0.0055,0.0065,0.02,0.138
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.4,0,1737,0.0374208405296488,9.96257915947035,0.0379965457685665,9.96200345423143,0.0397236614853195,9.96027633851468,0.384571099597006,9.61542890040299,0,0.996257915947035,0.0362694300518135,0,0.996200345423143,0.0362694300518135,0,0.996027633851468,0.0368451352907311,0,0.961542890040299,0.290731145653425,0.0362694300518135,0.0362694300518135,0.0368451352907311,0.290731145653425
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.4,1,2000,0.0175,8.9825,0.0185,8.9815,0.037,8.963,0.234,8.766,0.597,0.998055555555556,0.01025,0.597,0.997944444444444,0.01075,0.601,0.995888888888889,0.019375,0.6915,0.974,0.116041666666667,0.0175,0.0185,0.036,0.2095
"normal",0.175,1.375,"ARL0_370",370,"λ=0.175, L=1.375",0.4,2,2000,0.0035,7.9965,0.004,7.996,0.014,7.986,0.118,7.882,0.36425,0.9995625,0.00166666666666667,0.365,0.9995,0.00183333333333333,0.3965,0.99825,0.00541666666666667,0.55175,0.98525,0.04525,0.0035,0.004,0.0135,0.1115
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0,0,1524,0.0498687664041995,9.9501312335958,0.0498687664041995,9.9501312335958,0.062992125984252,9.93700787401575,0.420603674540682,9.57939632545932,0,0.99501312335958,0.0498687664041995,0,0.99501312335958,0.0498687664041995,0,0.993700787401575,0.0538057742782152,0,0.957939632545932,0.300524934383202,0.0498687664041995,0.0498687664041995,0.0538057742782152,0.300524934383202
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0,1,1539,0.0422352176738142,8.95776478232619,0.0422352176738142,8.95776478232619,0.0526315789473684,8.94736842105263,0.387264457439896,8.6127355425601,0.00909681611435997,0.995307198036243,0.0412605588044185,0.00909681611435997,0.995307198036243,0.0412605588044185,0.0103963612735543,0.994152046783626,0.0441845354126056,0.0487329434697856,0.956970615840012,0.276348278102664,0.041585445094217,0.041585445094217,0.0454840805717999,0.286549707602339
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0,2,1513,0.0310641110376735,7.96893588896233,0.03172504957039,7.96827495042961,0.0330469266358229,7.96695307336418,0.333773959021811,7.66622604097819,0.00495703899537343,0.996116986120291,0.0310641110376735,0.00495703899537343,0.996034368803701,0.0310641110376735,0.00561797752808989,0.995869134170522,0.030403172504957,0.0360211500330469,0.958278255122274,0.243445692883895,0.0310641110376735,0.0310641110376735,0.0310641110376735,0.259748843357568
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.05,0,1541,0.0590525632706035,9.9409474367294,0.0603504218040234,9.93964957819598,0.0700843608046723,9.92991563919533,0.436729396495782,9.56327060350422,0,0.99409474367294,0.0577547047371836,0,0.993964957819598,0.0577547047371836,0,0.992991563919533,0.0616482803374432,0,0.956327060350422,0.316028552887735,0.0577547047371836,0.0577547047371836,0.0616482803374432,0.316028552887735
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.05,1,1747,0.046937607326846,8.95306239267315,0.048654836863194,8.95134516313681,0.0601030337721809,8.93989696622782,0.430452203777905,8.56954779622209,0.199198626216371,0.994784710297017,0.0437893531768746,0.199198626216371,0.994593907015201,0.0446479679450487,0.206067544361763,0.993321885136424,0.0492272467086434,0.352032054951345,0.952171977358011,0.271131463461172,0.046937607326846,0.048654836863194,0.0595306239267315,0.343445907269605
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.05,2,1972,0.0334685598377282,7.96653144016227,0.0339756592292089,7.96602434077079,0.0441176470588235,7.95588235294118,0.329107505070994,7.67089249492901,0.17393509127789,0.995816430020284,0.0295807978363759,0.174949290060852,0.995753042596349,0.0298343475321163,0.190669371196755,0.994485294117647,0.0327079107505071,0.368914807302231,0.958861561866126,0.197515212981744,0.0324543610547667,0.0329614604462475,0.0410750507099392,0.283468559837728
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.1,0,1505,0.0524916943521595,9.94750830564784,0.053156146179402,9.9468438538206,0.0571428571428571,9.94285714285714,0.419933554817276,9.58006644518272,0,0.994750830564784,0.0518272425249169,0,0.99468438538206,0.0518272425249169,0,0.994285714285714,0.0518272425249169,0,0.958006644518272,0.320265780730897,0.0518272425249169,0.0518272425249169,0.0518272425249169,0.320265780730897
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.1,1,1964,0.0386965376782077,8.96130346232179,0.0392057026476578,8.96079429735234,0.0570264765784114,8.94297352342159,0.393075356415479,8.60692464358452,0.411914460285132,0.995700384702421,0.0308893414799728,0.411914460285132,0.995643810816927,0.0311439239646979,0.414969450101833,0.993663724824621,0.0391208418194162,0.546843177189409,0.95632496039828,0.228275627970129,0.0376782077393075,0.0381873727087576,0.0544806517311609,0.324847250509165
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.1,2,2000,0.024,7.976,0.0245,7.9755,0.0375,7.9625,0.3085,7.6915,0.246,0.997,0.0203333333333333,0.24875,0.9969375,0.0205833333333333,0.2725,0.9953125,0.0253333333333333,0.46175,0.9614375,0.169791666666667,0.024,0.0245,0.036,0.2685
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.15,0,1548,0.0516795865633075,9.94832041343669,0.0529715762273902,9.94702842377261,0.060077519379845,9.93992248062015,0.41343669250646,9.58656330749354,0,0.994832041343669,0.0503875968992248,0,0.994702842377261,0.0503875968992248,0,0.993992248062015,0.0516795865633075,0,0.958656330749354,0.302325581395349,0.0503875968992248,0.0503875968992248,0.0516795865633075,0.302325581395349
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.15,1,1999,0.0300150075037519,8.96998499249625,0.032016008004002,8.967983991996,0.0465232616308154,8.95347673836918,0.360680340170085,8.63931965982992,0.481740870435218,0.99666499916625,0.0237618809404702,0.48224112056028,0.996442665777333,0.024512256128064,0.48624312156078,0.994830748707687,0.0301817575454394,0.625812906453227,0.959924406647768,0.19739036184759,0.0300150075037519,0.032016008004002,0.0445222611305653,0.304152076038019
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.15,2,2000,0.014,7.986,0.0145,7.9855,0.0315,7.9685,0.2625,7.7375,0.3125,0.99825,0.0114166666666667,0.315,0.9981875,0.0115833333333333,0.342,0.9960625,0.0173333333333333,0.5305,0.9671875,0.138375,0.014,0.0145,0.0305,0.237
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.2,0,1535,0.041042345276873,9.95895765472313,0.041042345276873,9.95895765472313,0.044299674267101,9.9557003257329,0.418892508143322,9.58110749185668,0,0.995895765472313,0.0403908794788274,0,0.995895765472313,0.0403908794788274,0,0.99557003257329,0.041042345276873,0,0.958110749185668,0.304885993485342,0.0403908794788274,0.0403908794788274,0.041042345276873,0.304885993485342
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.2,1,2000,0.0295,8.9705,0.0305,8.9695,0.0515,8.9485,0.358,8.642,0.553,0.996722222222222,0.0195,0.553,0.996611111111111,0.02,0.5585,0.994277777777778,0.02925,0.686,0.960222222222222,0.186958333333333,0.029,0.03,0.049,0.3055
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.2,2,2000,0.0115,7.9885,0.012,7.988,0.0285,7.9715,0.22,7.78,0.349,0.9985625,0.00825,0.352,0.9985,0.0085,0.385,0.9964375,0.0146666666666667,0.5665,0.9725,0.103458333333333,0.0115,0.012,0.0275,0.201
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.3,0,1582,0.0474083438685209,9.95259165613148,0.0474083438685209,9.95259165613148,0.0524652338811631,9.94753476611884,0.429203539823009,9.57079646017699,0,0.995259165613148,0.0467762326169406,0,0.995259165613148,0.0467762326169406,0,0.994753476611884,0.0486725663716814,0,0.957079646017699,0.313527180783818,0.0467762326169406,0.0467762326169406,0.0486725663716814,0.313527180783818
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.3,1,2000,0.023,8.977,0.024,8.976,0.0465,8.9535,0.3115,8.6885,0.637,0.997444444444444,0.014,0.637,0.997333333333333,0.0145,0.641,0.994833333333333,0.0250833333333333,0.7455,0.965388888888889,0.156041666666667,0.023,0.024,0.046,0.2745
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.3,2,2000,0.0105,7.9895,0.0125,7.9875,0.029,7.971,0.188,7.812,0.40975,0.9986875,0.00625,0.41225,0.9984375,0.00716666666666667,0.45475,0.996375,0.013,0.61975,0.9765,0.083,0.0105,0.0125,0.0275,0.172
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.4,0,1501,0.0439706862091939,9.95602931379081,0.0439706862091939,9.95602931379081,0.0506329113924051,9.94936708860759,0.405729513657562,9.59427048634244,0,0.995602931379081,0.0419720186542305,0,0.995602931379081,0.0419720186542305,0,0.994936708860759,0.044636908727515,0,0.959427048634244,0.295136575616256,0.0419720186542305,0.0419720186542305,0.044636908727515,0.295136575616256
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.4,1,2000,0.0215,8.9785,0.023,8.977,0.042,8.958,0.267,8.733,0.6885,0.997611111111111,0.012,0.6885,0.997444444444444,0.01275,0.693,0.995333333333333,0.0220833333333333,0.77,0.970333333333333,0.130333333333333,0.0215,0.023,0.0405,0.2345
"normal",0.15,1.525,"ARL0_500",500,"λ=0.150, L=1.525",0.4,2,2000,0.0105,7.9895,0.0115,7.9885,0.027,7.973,0.1425,7.8575,0.44325,0.9986875,0.00591666666666667,0.44525,0.9985625,0.00616666666666667,0.4835,0.996625,0.0110833333333333,0.63125,0.9821875,0.0545,0.0105,0.0115,0.0255,0.133
