"ARL0_target","delta","m","Sensitivity_Bonf","Sensitivity_Holm","Sensitivity_BH","Sensitivity_raw","Specificity_Bonf","Specificity_Holm","Specificity_BH","Specificity_raw","FDR_Bonf","FDR_Holm","FDR_BH","FDR_raw","FWER_bonf","FWER_holm","FWER_bh","FWER_raw"
370,0,0,0,0,0,0,0.99697322467986,0.99697322467986,0.9965075669383,0.965715948777648,0.030267753201397,0.030267753201397,0.0314318975552969,0.260768335273574,0.030267753201397,0.030267753201397,0.0314318975552969,0.260768335273574
370,0,1,0.00518433179723502,0.00518433179723502,0.00576036866359447,0.0345622119815668,0.996223758320533,0.996223758320533,0.995583717357911,0.965245775729647,0.0334101382488479,0.0334101382488479,0.035426267281106,0.242511520737327,0.0339861751152074,0.0339861751152074,0.0362903225806452,0.251728110599078
370,0,2,0.00347826086956522,0.00347826086956522,0.00376811594202899,0.0379710144927536,0.996231884057971,0.996159420289855,0.996159420289855,0.964130434782609,0.0292753623188406,0.0292753623188406,0.0289855072463768,0.211188405797101,0.0295652173913043,0.0295652173913043,0.0295652173913043,0.227246376811594
370,0.05,0,0,0,0,0,0.996831797235023,0.996774193548387,0.9963133640553,0.966013824884793,0.0311059907834101,0.0311059907834101,0.0328341013824885,0.262096774193548,0.0311059907834101,0.0311059907834101,0.0328341013824885,0.262096774193548
370,0.05,1,0.146537842190016,0.146537842190016,0.148684916800859,0.281803542673108,0.996182978469613,0.996063696546788,0.995169082125604,0.961710502773305,0.0324745034889962,0.0330112721417069,0.0357845768473788,0.232823403113258,0.0343531937734836,0.035426731078905,0.0407944176060118,0.286634460547504
370,0.05,2,0.113041289023162,0.114300100704935,0.126132930513595,0.264350453172205,0.995594159113797,0.995594159113797,0.994901812688822,0.963746223564955,0.0328130245048674,0.0328130245048674,0.0340718361866398,0.185557233971131,0.0352467270896274,0.0352467270896274,0.040785498489426,0.243202416918429
370,0.1,0,0,0,0,0,0.996414112203586,0.996414112203586,0.996067090803933,0.964256795835743,0.0347021399652979,0.0347021399652979,0.0358588779641411,0.275303643724696,0.0347021399652979,0.0347021399652979,0.0358588779641411,0.275303643724696
370,0.1,1,0.318204740292486,0.318204740292486,0.322239031770045,0.448814926878467,0.997310472348294,0.997086345043985,0.995293326609514,0.965204236006051,0.0191628845184065,0.0201714573877963,0.0271474197344091,0.191376701966717,0.0242057488653555,0.0262228946041351,0.0393343419062027,0.266263237518911
370,0.1,2,0.1795,0.18125,0.2,0.36575,0.9975625,0.9975,0.9965625,0.96875,0.0165,0.0166666666666667,0.0189166666666667,0.154916666666667,0.0195,0.02,0.0275,0.2255
370,0.15,0,0,0,0,0,0.996823596142938,0.996823596142938,0.9965399886557,0.966250709018718,0.0300623936471923,0.0300623936471923,0.0300623936471923,0.252977878615995,0.0300623936471923,0.0300623936471923,0.0300623936471923,0.252977878615995
370,0.15,1,0.381,0.381,0.3855,0.531,0.997388888888889,0.997277777777778,0.995555555555556,0.965722222222222,0.02025,0.02075,0.0274166666666667,0.179375,0.0235,0.0245,0.039,0.265
370,0.15,2,0.2255,0.22725,0.25175,0.419,0.9975,0.9975,0.9959375,0.9708125,0.0175,0.0175,0.0225833333333333,0.131541666666667,0.02,0.02,0.03,0.203
370,0.2,0,0,0,0,0,0.997658079625293,0.997658079625293,0.997658079625293,0.967505854800937,0.0234192037470726,0.0234192037470726,0.0234192037470726,0.25175644028103,0.0234192037470726,0.0234192037470726,0.0234192037470726,0.25175644028103
370,0.2,1,0.452,0.452,0.4555,0.5955,0.997833333333333,0.997555555555556,0.995888888888889,0.967055555555556,0.0155,0.01675,0.02325,0.165458333333333,0.0195,0.022,0.0355,0.26
370,0.2,2,0.25775,0.25975,0.2875,0.46475,0.9984375,0.998375,0.9971875,0.975875,0.0114166666666667,0.0116666666666667,0.01475,0.102458333333333,0.0125,0.013,0.0225,0.1765
370,0.3,0,0,0,0,0,0.996543778801843,0.996543778801843,0.996140552995392,0.962615207373272,0.0339861751152074,0.0339861751152074,0.0351382488479263,0.283986175115207,0.0339861751152074,0.0339861751152074,0.0351382488479263,0.283986175115207
370,0.3,1,0.53,0.5305,0.5355,0.6485,0.997444444444444,0.997388888888889,0.995611111111111,0.970166666666667,0.01575,0.01575,0.023,0.141166666666667,0.023,0.0235,0.039,0.238
370,0.3,2,0.3165,0.32075,0.35675,0.536,0.99925,0.999125,0.997375,0.9809375,0.00433333333333333,0.00458333333333333,0.0100833333333333,0.07175,0.0055,0.0065,0.02,0.138
370,0.4,0,0,0,0,0,0.996257915947035,0.996200345423143,0.996027633851468,0.961542890040299,0.0362694300518135,0.0362694300518135,0.0368451352907311,0.290731145653425,0.0362694300518135,0.0362694300518135,0.0368451352907311,0.290731145653425
370,0.4,1,0.597,0.597,0.601,0.6915,0.998055555555556,0.997944444444444,0.995888888888889,0.974,0.01025,0.01075,0.019375,0.116041666666667,0.0175,0.0185,0.036,0.2095
370,0.4,2,0.36425,0.365,0.3965,0.55175,0.9995625,0.9995,0.99825,0.98525,0.00166666666666667,0.00183333333333333,0.00541666666666667,0.04525,0.0035,0.004,0.0135,0.1115
500,0,0,0,0,0,0,0.99501312335958,0.99501312335958,0.993700787401575,0.957939632545932,0.0498687664041995,0.0498687664041995,0.0538057742782152,0.300524934383202,0.0498687664041995,0.0498687664041995,0.0538057742782152,0.300524934383202
500,0,1,0.00909681611435997,0.00909681611435997,0.0103963612735543,0.0487329434697856,0.995307198036243,0.995307198036243,0.994152046783626,0.956970615840012,0.0412605588044185,0.0412605588044185,0.0441845354126056,0.276348278102664,0.041585445094217,0.041585445094217,0.0454840805717999,0.286549707602339
500,0,2,0.00495703899537343,0.00495703899537343,0.00561797752808989,0.0360211500330469,0.996116986120291,0.996034368803701,0.995869134170522,0.958278255122274,0.0310641110376735,0.0310641110376735,0.030403172504957,0.243445692883895,0.0310641110376735,0.0310641110376735,0.0310641110376735,0.259748843357568
500,0.05,0,0,0,0,0,0.99409474367294,0.993964957819598,0.992991563919533,0.956327060350422,0.0577547047371836,0.0577547047371836,0.0616482803374432,0.316028552887735,0.0577547047371836,0.0577547047371836,0.0616482803374432,0.316028552887735
500,0.05,1,0.199198626216371,0.199198626216371,0.206067544361763,0.352032054951345,0.994784710297017,0.994593907015201,0.993321885136424,0.952171977358011,0.0437893531768746,0.0446479679450487,0.0492272467086434,0.271131463461172,0.046937607326846,0.048654836863194,0.0595306239267315,0.343445907269605
500,0.05,2,0.17393509127789,0.174949290060852,0.190669371196755,0.368914807302231,0.995816430020284,0.995753042596349,0.994485294117647,0.958861561866126,0.0295807978363759,0.0298343475321163,0.0327079107505071,0.197515212981744,0.0324543610547667,0.0329614604462475,0.0410750507099392,0.283468559837728
500,0.1,0,0,0,0,0,0.994750830564784,0.99468438538206,0.994285714285714,0.958006644518272,0.0518272425249169,0.0518272425249169,0.0518272425249169,0.320265780730897,0.0518272425249169,0.0518272425249169,0.0518272425249169,0.320265780730897
500,0.1,1,0.411914460285132,0.411914460285132,0.414969450101833,0.546843177189409,0.995700384702421,0.995643810816927,0.993663724824621,0.95632496039828,0.0308893414799728,0.0311439239646979,0.0391208418194162,0.228275627970129,0.0376782077393075,0.0381873727087576,0.0544806517311609,0.324847250509165
500,0.1,2,0.246,0.24875,0.2725,0.46175,0.997,0.9969375,0.9953125,0.9614375,0.0203333333333333,0.0205833333333333,0.0253333333333333,0.169791666666667,0.024,0.0245,0.036,0.2685
500,0.15,0,0,0,0,0,0.994832041343669,0.994702842377261,0.993992248062015,0.958656330749354,0.0503875968992248,0.0503875968992248,0.0516795865633075,0.302325581395349,0.0503875968992248,0.0503875968992248,0.0516795865633075,0.302325581395349
500,0.15,1,0.481740870435218,0.48224112056028,0.48624312156078,0.625812906453227,0.99666499916625,0.996442665777333,0.994830748707687,0.959924406647768,0.0237618809404702,0.024512256128064,0.0301817575454394,0.19739036184759,0.0300150075037519,0.032016008004002,0.0445222611305653,0.304152076038019
500,0.15,2,0.3125,0.315,0.342,0.5305,0.99825,0.9981875,0.9960625,0.9671875,0.0114166666666667,0.0115833333333333,0.0173333333333333,0.138375,0.014,0.0145,0.0305,0.237
500,0.2,0,0,0,0,0,0.995895765472313,0.995895765472313,0.99557003257329,0.958110749185668,0.0403908794788274,0.0403908794788274,0.041042345276873,0.304885993485342,0.0403908794788274,0.0403908794788274,0.041042345276873,0.304885993485342
500,0.2,1,0.553,0.553,0.5585,0.686,0.996722222222222,0.996611111111111,0.994277777777778,0.960222222222222,0.0195,0.02,0.02925,0.186958333333333,0.029,0.03,0.049,0.3055
500,0.2,2,0.349,0.352,0.385,0.5665,0.9985625,0.9985,0.9964375,0.9725,0.00825,0.0085,0.0146666666666667,0.103458333333333,0.0115,0.012,0.0275,0.201
500,0.3,0,0,0,0,0,0.995259165613148,0.995259165613148,0.994753476611884,0.957079646017699,0.0467762326169406,0.0467762326169406,0.0486725663716814,0.313527180783818,0.0467762326169406,0.0467762326169406,0.0486725663716814,0.313527180783818
500,0.3,1,0.637,0.637,0.641,0.7455,0.997444444444444,0.997333333333333,0.994833333333333,0.965388888888889,0.014,0.0145,0.0250833333333333,0.156041666666667,0.023,0.024,0.046,0.2745
500,0.3,2,0.40975,0.41225,0.45475,0.61975,0.9986875,0.9984375,0.996375,0.9765,0.00625,0.00716666666666667,0.013,0.083,0.0105,0.0125,0.0275,0.172
500,0.4,0,0,0,0,0,0.995602931379081,0.995602931379081,0.994936708860759,0.959427048634244,0.0419720186542305,0.0419720186542305,0.044636908727515,0.295136575616256,0.0419720186542305,0.0419720186542305,0.044636908727515,0.295136575616256
500,0.4,1,0.6885,0.6885,0.693,0.77,0.997611111111111,0.997444444444444,0.995333333333333,0.970333333333333,0.012,0.01275,0.0220833333333333,0.130333333333333,0.0215,0.023,0.0405,0.2345
500,0.4,2,0.44325,0.44525,0.4835,0.63125,0.9986875,0.9985625,0.996625,0.9821875,0.00591666666666667,0.00616666666666667,0.0110833333333333,0.0545,0.0105,0.0115,0.0255,0.133
